link_key,speed_max,tt_avg,speed_sd,median_age,speed_ref_avg,inrix_id,road_closures,tt_sd,speed_hist_sd,incidents,tt_var,speed_hist_avg,speed_cv,bus_stops,tt_cv,median_inc,speed_avg,intersections,speed_ref_sd,date,hour
"(0, 1621, '0')",15.534,0.672,1.293,31.100,21.748,1626615977.000,0.000,0.071,2.175,0,0.005,16.932,0.076,0,0.076,93.828,13.981,1,0.000,2020-10-06,16
"(61, 93, '0')",43.496,0.435,2.708,34.400,39.768,1626615885.000,0.000,0.030,3.418,0,0.001,41.166,0.066,0,0.066,66.653,41.943,0,0.000,2020-10-06,16
"(61, 51, '0')",0.000,0.000,0.000,34.400,0.000,,0.000,0.000,0.000,2,0.000,0.000,0.000,0,0.000,66.653,0.000,0,0.000,2020-10-06,16
"(57, 51, '0')",34.797,0.315,2.346,34.400,32.933,1626615921.000,0.000,0.024,0.359,0,0.001,31.379,0.075,0,0.075,66.653,31.535,1,0.000,2020-10-06,16
"(708, 9, '0')",22.991,0.080,0.000,34.400,22.991,170250231.000,0.000,0.000,,0,0.000,,,0,,66.653,22.991,1,0.000,2020-10-06,16
"(319, 9, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(708, 738, '0')",20.505,0.562,3.002,34.400,21.748,441459740.000,0.000,0.094,0.000,0,0.009,14.292,0.210,0,0.210,66.653,16.156,1,0.000,2020-10-06,16
"(708, 733, '0')",21.748,0.342,0.879,34.400,26.098,441459739.000,0.000,0.015,0.000,0,0.000,18.020,0.049,0,0.049,66.653,20.505,2,0.000,2020-10-06,16
"(1556, 1731, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(160, 95, '0')",44.117,0.235,5.236,34.400,42.875,1626615745.000,0.000,0.031,1.522,0,0.001,42.253,0.124,0,0.124,66.653,38.836,0,0.000,2020-10-06,16
"(2, 43, '0')",68.972,0.718,1.243,24.900,65.244,1626704648.000,0.000,0.013,0.000,5,0.000,62.758,0.020,0,0.020,14.243,68.351,2,0.000,2020-10-06,16
"(99, 43, '0')",68.972,0.718,1.243,26.000,65.244,1626704648.000,0.000,0.013,0.000,3,0.000,62.758,0.020,0,0.020,21.600,68.351,0,0.000,2020-10-06,16
"(369, 164, '0')",68.351,0.300,1.281,29.300,64.001,1626729452.000,0.000,0.000,0.717,0,0.000,63.380,0.020,0,0.020,20.750,66.642,0,0.000,2020-10-06,16
"(669, 164, '0')",68.351,0.300,1.281,29.300,64.001,1626729452.000,0.000,0.000,0.717,0,0.000,63.380,0.020,0,0.020,20.750,66.642,0,0.000,2020-10-06,16
"(3, 38, '0')",0.000,0.000,0.000,24.500,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,17.434,0.000,0,0.000,2020-10-06,16
"(3, 19, '0')",0.000,0.000,0.000,24.500,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,17.434,0.000,0,0.000,2020-10-06,16
"(4, 465, '0')",36.040,0.167,2.980,36.500,27.962,441671213.000,0.000,0.013,0.782,0,0.000,25.010,0.119,1,0.119,42.500,32.001,1,0.000,2020-10-06,16
"(361, 412, '0')",68.972,0.260,1.711,29.300,64.001,400421634.000,0.000,0.012,0.000,0,0.000,62.758,0.027,0,0.027,20.750,66.953,0,0.000,2020-10-06,16
"(205, 412, '0')",68.972,0.260,1.711,29.300,64.001,400421634.000,0.000,0.012,0.000,7,0.000,62.758,0.027,0,0.027,20.750,66.953,2,0.000,2020-10-06,16
"(473, 4, '0')",67.729,0.590,1.134,36.500,65.244,1626686637.000,0.000,0.012,0.000,12,0.000,62.758,0.018,0,0.018,42.500,66.487,2,0.000,2020-10-06,16
"(252, 4, '0')",67.108,0.240,1.061,21.100,65.865,1626631905.000,0.000,0.012,0.000,25,0.000,62.758,0.017,0,0.017,42.205,66.021,3,0.000,2020-10-06,16
"(5, 519, '0')",21.127,0.110,2.400,33.100,21.748,429471497.000,0.000,0.012,0.311,0,0.000,19.729,0.122,0,0.122,45.536,18.796,0,0.000,2020-10-06,16
"(5, 35, '0')",21.127,0.432,2.400,33.100,21.748,1626736434.000,0.000,0.050,0.311,0,0.002,19.729,0.122,0,0.122,45.536,18.796,1,0.000,2020-10-06,16
"(91, 35, '0')",26.098,0.112,4.275,33.100,24.855,429473541.000,0.000,0.025,0.359,0,0.001,19.573,0.218,0,0.218,45.536,22.991,2,0.000,2020-10-06,16
"(510, 35, '0')",26.719,0.388,2.505,33.100,34.797,1626613838.000,0.000,0.043,0.000,0,0.002,26.098,0.096,0,0.096,45.536,23.146,1,0.000,2020-10-06,16
"(6, 539, '0')",26.098,0.443,2.685,29.000,24.855,1626728177.000,0.000,0.056,0.879,0,0.003,19.263,0.139,0,0.139,36.974,22.369,2,0.000,2020-10-06,16
"(166, 539, '0')",16.777,0.365,1.134,29.000,19.884,1626667843.000,0.000,0.031,1.293,2,0.001,14.602,0.078,0,0.078,36.974,15.534,2,0.000,2020-10-06,16
"(557, 539, '0')",29.204,0.460,2.433,29.000,19.884,1626747729.000,0.000,0.045,1.711,0,0.002,16.000,0.152,0,0.152,36.974,26.719,1,0.000,2020-10-06,16
"(6, 17, '0')",16.777,0.672,1.134,29.000,19.884,1626698650.000,0.000,0.046,1.293,1,0.002,14.602,0.078,0,0.078,36.974,15.534,1,0.000,2020-10-06,16
"(213, 17, '0')",29.204,0.273,1.015,34.200,29.826,441679111.000,0.000,0.005,0.717,0,0.000,22.369,0.045,0,0.045,67.240,27.962,0,0.000,2020-10-06,16
"(830, 17, '0')",30.447,0.305,3.209,34.200,26.719,441461376.000,0.000,0.037,0.000,0,0.001,21.748,0.148,1,0.148,67.240,26.719,0,0.000,2020-10-06,16
"(865, 17, '0')",27.340,0.573,1.924,34.200,26.719,441679102.000,0.000,0.043,0.621,0,0.002,22.059,0.087,0,0.087,67.240,25.632,0,0.000,2020-10-06,16
"(493, 250, '0')",0.000,0.000,0.000,21.100,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,42.205,0.000,1,0.000,2020-10-06,16
"(253, 250, '0')",36.661,0.432,4.826,21.100,31.690,1626706657.000,0.000,0.074,0.359,15,0.005,24.544,0.197,0,0.197,42.205,30.758,2,0.000,2020-10-06,16
"(7, 559, '0')",30.447,0.400,1.785,34.400,31.069,441458238.000,0.000,0.024,0.000,0,0.001,24.855,0.072,0,0.072,66.653,28.117,0,0.000,2020-10-06,16
"(8, 640, '0')",67.108,0.445,1.190,24.600,64.001,1626704618.000,0.000,0.010,0.000,21,0.000,60.894,0.020,0,0.020,36.042,65.555,0,0.000,2020-10-06,16
"(105, 82, '0')",0.000,0.000,0.000,34.400,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,66.653,0.000,1,0.000,2020-10-06,16
"(105, 23, '0')",22.991,0.158,2.842,34.400,29.204,429471468.000,0.000,0.022,0.000,0,0.000,24.855,0.114,0,0.114,66.653,19.729,2,0.000,2020-10-06,16
"(62, 23, '0')",30.447,0.145,1.785,34.400,31.069,1626735696.000,0.000,0.010,0.000,0,0.000,24.855,0.072,0,0.072,66.653,28.117,1,0.000,2020-10-06,16
"(95, 23, '0')",44.117,0.235,5.236,34.400,42.875,1626615745.000,0.000,0.031,1.522,1,0.001,42.253,0.124,0,0.124,66.653,38.836,1,0.000,2020-10-06,16
"(9, 708, '0')",4.971,0.380,0.000,34.400,8.078,170451683.000,0.000,0.000,0.000,0,0.000,4.971,0.000,0,0.000,66.653,4.971,1,0.000,2020-10-06,16
"(707, 708, '0')",21.748,0.412,0.879,34.400,26.098,441679176.000,0.000,0.022,0.000,0,0.000,18.020,0.049,0,0.049,66.653,20.505,1,0.000,2020-10-06,16
"(737, 708, '0')",20.505,0.348,3.002,34.400,21.748,441679174.000,0.000,0.056,0.000,0,0.003,14.292,0.210,0,0.210,66.653,16.156,1,0.000,2020-10-06,16
"(9, 1230, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(82, 237, '0')",0.000,0.000,0.000,34.400,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,66.653,0.000,0,0.000,2020-10-06,16
"(144, 237, '0')",68.972,0.198,5.949,34.400,65.244,1626615940.000,0.000,0.024,0.717,2,0.001,64.623,0.092,0,0.092,66.653,64.312,2,0.000,2020-10-06,16
"(62, 144, '0')",22.991,0.307,2.842,34.400,29.204,1626615706.000,0.000,0.039,0.000,0,0.001,24.855,0.114,0,0.114,66.653,19.729,0,0.000,2020-10-06,16
"(48, 144, '0')",70.215,0.260,2.400,34.400,67.108,1626615688.000,0.000,0.012,0.000,0,0.000,67.108,0.036,0,0.036,66.653,67.885,0,0.000,2020-10-06,16
"(57, 55, '0')",17.398,0.208,1.061,31.100,26.719,429471470.000,0.000,0.015,1.711,0,0.000,20.971,0.051,0,0.051,93.828,16.311,2,0.000,2020-10-06,16
"(56, 55, '0')",21.127,0.250,2.842,31.100,24.855,1626751626.000,0.000,0.036,0.717,0,0.001,20.505,0.139,0,0.139,93.828,16.932,2,0.000,2020-10-06,16
"(93, 55, '0')",34.797,0.315,2.346,31.100,32.933,1626615921.000,0.000,0.024,0.359,0,0.001,31.379,0.075,0,0.075,93.828,31.535,1,0.000,2020-10-06,16
"(580, 142, '0')",68.972,0.540,0.802,34.400,67.729,170326096.000,0.000,0.012,0.782,0,0.000,66.953,0.012,0,0.012,66.653,68.040,0,0.000,2020-10-06,16
"(12, 77, '0')",70.836,0.732,1.061,24.900,67.729,1626749030.000,0.000,0.013,0.621,6,0.000,66.797,0.016,0,0.016,14.243,69.438,1,0.000,2020-10-06,16
"(143, 579, '0')",0.000,0.000,0.000,34.400,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,66.653,0.000,0,0.000,2020-10-06,16
"(1217, 10, '0')",21.748,1.225,1.829,28.700,27.962,1626721540.000,0.000,0.107,0.879,0,0.011,19.884,0.092,0,0.092,39.191,19.263,1,0.000,2020-10-06,16
"(561, 10, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(1217, 1196, '0')",21.748,1.225,1.829,28.700,27.962,1626721540.000,0.000,0.107,0.879,0,0.011,19.884,0.092,0,0.092,39.191,19.263,1,0.000,2020-10-06,16
"(14, 414, '0')",68.351,0.422,1.342,25.900,65.244,1626686499.000,0.000,0.005,0.621,0,0.000,63.691,0.021,0,0.021,27.250,66.487,4,0.000,2020-10-06,16
"(577, 580, '0')",0.000,0.000,0.000,31.779,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,37.414,0.000,0,0.000,2020-10-06,16
"(15, 14, '0')",68.351,0.422,1.342,25.900,65.244,1626686499.000,0.000,0.005,0.621,6,0.000,63.691,0.021,0,0.021,27.250,66.487,0,0.000,2020-10-06,16
"(579, 647, '0')",0.000,0.000,0.000,31.779,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,37.414,0.000,1,0.000,2020-10-06,16
"(16, 221, '0')",30.447,0.550,1.932,40.400,29.826,449892027.000,0.000,0.036,0.000,1,0.001,21.127,0.091,1,0.091,64.773,27.651,1,0.000,2020-10-06,16
"(873, 221, '0')",27.340,0.135,2.703,40.400,24.855,441679086.000,0.000,0.017,1.683,1,0.000,23.612,0.114,0,0.114,64.773,25.010,2,0.000,2020-10-06,16
"(904, 221, '0')",26.719,0.307,3.418,40.400,26.098,441679085.000,0.000,0.043,0.311,1,0.002,21.593,0.158,1,0.158,64.773,22.214,1,0.000,2020-10-06,16
"(1308, 221, '0')",26.098,0.647,2.750,40.400,25.476,449892015.000,0.000,0.079,0.000,1,0.006,22.991,0.120,0,0.120,64.773,23.457,1,0.000,2020-10-06,16
"(16, 895, '0')",26.098,0.647,2.750,40.400,25.476,449892015.000,0.000,0.079,0.000,0,0.006,22.991,0.120,2,0.120,64.773,23.457,2,0.000,2020-10-06,16
"(111, 895, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(17, 1250, '0')",27.340,0.213,1.924,34.200,26.719,441679107.000,0.000,0.015,0.621,0,0.000,22.059,0.087,1,0.087,67.240,25.632,0,0.000,2020-10-06,16
"(1252, 1250, '0')",27.340,0.255,0.621,34.200,28.583,441679109.000,0.000,0.010,0.000,0,0.000,22.991,0.027,0,0.027,67.240,27.030,0,0.000,2020-10-06,16
"(570, 1250, '0')",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,2020-10-06,16
"(17, 6, '0')",26.098,0.443,2.685,29.000,24.855,1626728177.000,0.000,0.056,0.879,1,0.003,19.263,0.139,0,0.139,36.974,22.369,1,0.000,2020-10-06,16
"(539, 6, '0')",16.777,0.672,1.134,29.000,19.884,1626698650.000,0.000,0.046,1.293,0,0.002,14.602,0.078,0,0.078,36.974,15.534,2,0.000,2020-10-06,16
"(17, 1275, '0')",30.447,0.555,3.209,34.200,26.719,441679103.000,0.000,0.065,0.000,0,0.004,21.748,0.148,0,0.148,67.240,26.719,0,0.000,2020-10-06,16
"(17, 213, '0')",16.777,0.395,1.134,34.200,19.884,441679106.000,0.000,0.026,1.293,0,0.001,14.602,0.078,0,0.078,67.240,15.534,0,0.000,2020-10-06,16
"(847, 213, '0')",29.204,0.788,1.015,34.200,29.826,1626687882.000,0.000,0.022,0.717,0,0.000,22.369,0.045,0,0.045,67.240,27.962,5,0.000,2020-10-06,16
"(712, 728, '0')",41.632,0.328,1.176,34.400,39.768,1626631223.000,0.000,0.005,0.359,0,0.000,39.457,0.030,0,0.030,66.653,39.923,0,0.000,2020-10-06,16
"(712, 706, '0')",34.175,0.180,0.802,34.400,32.933,400072808.000,0.000,0.000,0.000,0,0.000,34.175,0.023,0,0.023,66.653,33.243,1,0.000,2020-10-06,16
"(703, 706, '0')",30.447,0.505,1.785,34.400,31.069,441679177.000,0.000,0.033,0.000,0,0.001,24.855,0.072,0,0.072,66.653,28.117,1,0.000,2020-10-06,16
"(715, 706, '0')",32.311,0.562,1.758,34.400,29.826,449897473.000,0.000,0.043,0.932,1,0.002,27.185,0.065,0,0.065,66.653,31.069,1,0.000,2020-10-06,16
"(717, 706, '0')",31.069,0.865,0.802,34.400,37.282,441450989.000,0.000,0.031,0.717,0,0.001,28.583,0.028,0,0.028,66.653,30.137,1,0.000,2020-10-06,16
"(729, 712, '0')",34.175,0.180,0.802,34.400,32.933,400072808.000,0.000,0.000,0.000,0,0.000,34.175,0.023,0,0.023,66.653,33.243,0,0.000,2020-10-06,16
"(706, 712, '0')",32.311,0.105,1.758,34.400,29.826,400072807.000,0.000,0.010,0.932,0,0.000,27.185,0.065,0,0.065,66.653,31.069,1,0.000,2020-10-06,16
"(70, 147, '0')",0.000,0.000,0.000,31.100,0.000,,0.000,0.000,0.000,0,0.000,0.000,0.000,0,0.000,93.828,0.000,0,0.000,2020-10-06,16
"(18, 1303, '0')",31.690,0.095,1.378,33.100,31.690,429471495.000,0.000,0.010,0.782,3,0.000,24.078,0.057,0,0.057,45.536,30.292,1,0.000,2020-10-06,16
"(34, 1303, '0')",21.748,0.198,3.303,26.700,29.204,429471496.000,0.000,0.038,0.717,1,0.001,20.505,0.161,0,0.161,30.907,19.107,2,0.000,2020-10-06,16
"(18, 5, '0')",18.020,0.377,1.378,33.100,26.719,1626648707.000,0.000,0.030,0.782,18,0.001,21.903,0.063,0,0.063,45.536,16.932,7,0.000,2020-10-06,16
"(150, 32, '0')",33.554,0.457,2.233,46.000,29.826,1626644298.000,0.000,0.034,1.378,8,0.001,18.486,0.121,0,0.121,24.821,31.535,0,0.000,2020-10-06,16
"(150, 287, '0')",67.108,0.200,1.644,46.000,65.244,1626686788.000,0.000,0.000,0.311,7,0.000,62.603,0.026,0,0.026,24.821,65.555,0,0.000,2020-10-06,16
